1,1,9117,1,2013/01/27
2,1,3353,3,2013/01/27
3,1,2778,2,2013/01/27
4,1,4774,2,2013/01/27
5,1,3648,2,2013/01/27
6,1,9523,3,2013/01/27
7,1,6358,3,2013/01/27
8,1,1417,2,2013/01/27
1,2,1567,2,2013/01/01
2,2,1298,1,2013/01/01
3,2,9990,1,2013/01/01
4,2,5130,3,2013/01/01
5,2,6127,1,2013/01/01
6,2,6376,2,2013/01/01
7,2,4936,3,2013/01/01
8,2,2926,3,2013/01/01
1,3,2834,2,2013/01/17
2,3,8078,3,2013/01/17
3,3,698,3,2013/01/17
4,3,5260,1,2013/01/17
5,3,1923,2,2013/01/17
6,3,8903,2,2013/01/17
7,3,642,1,2013/01/17
8,3,4578,1,2013/01/17
9,3,2383,3,2013/01/17
1,4,3753,3,2013/01/28
2,4,5126,3,2013/01/28
3,4,5317,1,2013/01/28
4,4,4377,3,2013/01/28
5,4,9309,3,2013/01/28
1,5,6879,1,2013/01/09
2,5,4402,3,2013/01/09
3,5,8293,1,2013/01/09
4,5,2290,3,2013/01/09
1,6,6574,3,2013/01/11
2,6,4396,3,2013/01/11
3,6,3985,3,2013/01/11
4,6,6843,3,2013/01/11
5,6,4825,1,2013/01/11
6,6,9503,3,2013/01/11
1,7,6196,1,2013/01/05
2,7,7861,1,2013/01/05
3,7,4471,1,2013/01/05
4,7,1876,1,2013/01/05
1,8,1032,1,2013/01/18
2,8,4955,3,2013/01/18
3,8,9848,3,2013/01/18
4,8,6845,2,2013/01/18
5,8,7498,2,2013/01/18
6,8,2942,1,2013/01/18
7,8,5845,1,2013/01/18
8,8,1524,3,2013/01/18
9,8,1255,3,2013/01/18
1,9,526,2,2013/01/06
2,9,1763,1,2013/01/06
3,9,7978,3,2013/01/06
4,9,6566,3,2013/01/06
5,9,6395,3,2013/01/06
6,9,935,1,2013/01/06
7,9,5203,1,2013/01/06
8,9,700,1,2013/01/06
9,9,4615,3,2013/01/06
1,10,10000,1,2013/01/18
2,10,8900,1,2013/01/18
1,11,42,3,2013/01/31
1,12,9131,3,2013/01/19
2,12,3591,2,2013/01/19
3,12,5795,2,2013/01/19
4,12,6874,1,2013/01/19
1,13,5770,3,2013/01/17
2,13,7479,2,2013/01/17
3,13,355,3,2013/01/17
4,13,8333,3,2013/01/17
5,13,8733,3,2013/01/17
6,13,9795,3,2013/01/17
7,13,9034,3,2013/01/17
8,13,6669,2,2013/01/17
9,13,1640,3,2013/01/17
1,14,6295,1,2013/01/28
2,14,7007,1,2013/01/28
3,14,3288,1,2013/01/28
1,15,5107,3,2013/01/03
2,15,2801,2,2013/01/03
3,15,7193,1,2013/01/03
4,15,4715,2,2013/01/03
5,15,9444,2,2013/01/03
6,15,3364,3,2013/01/03
1,16,8333,1,2013/01/14
2,16,6755,2,2013/01/14
3,16,4820,1,2013/01/14
4,16,7121,1,2013/01/14
5,16,6219,1,2013/01/14
6,16,4140,3,2013/01/14
1,17,6092,2,2013/01/21
2,17,7308,1,2013/01/21
1,18,6532,1,2013/01/23
2,18,5325,1,2013/01/23
3,18,2605,3,2013/01/23
4,18,6862,1,2013/01/23
5,18,1113,2,2013/01/23
6,18,5767,2,2013/01/23
7,18,6666,1,2013/01/23
1,19,9844,1,2013/01/25
2,19,8274,1,2013/01/25
1,20,7649,3,2013/01/06
2,20,1212,3,2013/01/06
3,20,3839,3,2013/01/06
4,20,9431,3,2013/01/06
5,20,8620,1,2013/01/06
6,20,7937,2,2013/01/06
7,20,2973,3,2013/01/06
8,20,9097,3,2013/01/06
9,20,4982,2,2013/01/06
1,21,4637,3,2013/01/06
2,21,4960,1,2013/01/06
3,21,1805,3,2013/01/06
4,21,7276,1,2013/01/06
5,21,6032,2,2013/01/06
1,22,4986,1,2013/01/26
2,22,1383,2,2013/01/26
1,23,8369,3,2013/01/11
2,23,4961,2,2013/01/11
3,23,3944,2,2013/01/11
4,23,6089,1,2013/01/11
5,23,1513,1,2013/01/11
6,23,1079,2,2013/01/11
1,24,4274,3,2013/01/12
1,25,4875,1,2013/01/19
2,25,8831,2,2013/01/19
3,25,5178,1,2013/01/19
4,25,5576,2,2013/01/19
5,25,8300,2,2013/01/19
6,25,2444,1,2013/01/19
7,25,7294,2,2013/01/19
1,26,4108,1,2013/01/31
2,26,7833,3,2013/01/31
1,27,492,2,2013/01/10
2,27,9865,3,2013/01/10
3,27,2109,2,2013/01/10
4,27,8652,1,2013/01/10
5,27,996,2,2013/01/10
6,27,3018,2,2013/01/10
7,27,8091,1,2013/01/10
1,28,6921,2,2013/01/02
2,28,1192,2,2013/01/02
3,28,5787,2,2013/01/02
4,28,5951,2,2013/01/02
5,28,3043,3,2013/01/02
6,28,4766,1,2013/01/02
7,28,6098,2,2013/01/02
8,28,6190,2,2013/01/02
1,29,9238,1,2013/01/08
1,30,3572,3,2013/01/15
2,30,3443,3,2013/01/15
3,30,6592,1,2013/01/15
1,31,3082,1,2013/01/08
2,31,1981,2,2013/01/08
3,31,1098,3,2013/01/08
4,31,7823,3,2013/01/08
5,31,2004,2,2013/01/08
6,31,3157,2,2013/01/08
7,31,2310,2,2013/01/08
8,31,5329,1,2013/01/08
1,32,3055,3,2013/01/18
2,32,2605,2,2013/01/18
3,32,5524,3,2013/01/18
4,32,6860,3,2013/01/18
1,33,5330,3,2013/01/22
1,34,3622,3,2013/01/20
2,34,8019,3,2013/01/20
3,34,1529,1,2013/01/20
4,34,636,3,2013/01/20
1,35,12,1,2013/01/06
2,35,3053,1,2013/01/06
3,35,6554,3,2013/01/06
4,35,1812,2,2013/01/06
5,35,6674,3,2013/01/06
6,35,6534,1,2013/01/06
1,36,8290,3,2013/01/28
2,36,9042,1,2013/01/28
3,36,3946,3,2013/01/28
4,36,8690,2,2013/01/28
5,36,7390,3,2013/01/28
1,37,4945,2,2013/01/08
2,37,9392,3,2013/01/08
3,37,8142,2,2013/01/08
4,37,6573,3,2013/01/08
5,37,9359,1,2013/01/08
6,37,8744,2,2013/01/08
7,37,6378,3,2013/01/08
8,37,7755,3,2013/01/08
9,37,2628,2,2013/01/08
1,38,8731,2,2013/01/15
2,38,4125,2,2013/01/15
3,38,5969,2,2013/01/15
4,38,5386,1,2013/01/15
5,38,5791,1,2013/01/15
6,38,7010,2,2013/01/15
7,38,8327,2,2013/01/15
8,38,1127,2,2013/01/15
1,39,6377,2,2013/01/16
2,39,1440,2,2013/01/16
3,39,2471,2,2013/01/16
4,39,175,3,2013/01/16
1,40,4774,3,2013/01/18
2,40,588,1,2013/01/18
3,40,6408,2,2013/01/18
4,40,2227,1,2013/01/18
5,40,6303,3,2013/01/18
1,41,9527,3,2013/01/23
2,41,8991,3,2013/01/23
3,41,3336,2,2013/01/23
4,41,2192,2,2013/01/23
5,41,9499,2,2013/01/23
6,41,8844,3,2013/01/23
7,41,1838,2,2013/01/23
8,41,7803,3,2013/01/23
1,42,3319,2,2013/01/29
2,42,5608,2,2013/01/29
3,42,6222,1,2013/01/29
4,42,4780,2,2013/01/29
5,42,6539,3,2013/01/29
6,42,2107,2,2013/01/29
7,42,8655,1,2013/01/29
8,42,3736,1,2013/01/29
9,42,6466,2,2013/01/29
1,43,5637,1,2013/01/21
2,43,190,2,2013/01/21
3,43,91,3,2013/01/21
4,43,6015,3,2013/01/21
5,43,8872,3,2013/01/21
6,43,1731,2,2013/01/21
1,44,1554,1,2013/01/16
2,44,8823,2,2013/01/16
3,44,8995,3,2013/01/16
4,44,4759,1,2013/01/16
5,44,9467,1,2013/01/16
6,44,8657,2,2013/01/16
7,44,7187,3,2013/01/16
8,44,1841,1,2013/01/16
9,44,1672,1,2013/01/16
1,45,9470,1,2013/01/20
2,45,1609,1,2013/01/20
3,45,4619,2,2013/01/20
1,46,3938,2,2013/01/29
1,47,5662,1,2013/01/14
2,47,348,2,2013/01/14
3,47,8140,3,2013/01/14
4,47,3564,3,2013/01/14
5,47,357,2,2013/01/14
6,47,2010,2,2013/01/14
7,47,6998,1,2013/01/14
8,47,8894,2,2013/01/14
9,47,3415,1,2013/01/14
1,48,9042,1,2013/01/24
2,48,7525,1,2013/01/24
3,48,8094,1,2013/01/24
4,48,5912,1,2013/01/24
5,48,1015,1,2013/01/24
6,48,2442,1,2013/01/24
7,48,5892,1,2013/01/24
1,49,4691,1,2013/01/28
2,49,5871,1,2013/01/28
3,49,5846,2,2013/01/28
4,49,8156,3,2013/01/28
5,49,5266,2,2013/01/28
6,49,7294,1,2013/01/28
7,49,2642,2,2013/01/28
8,49,5382,1,2013/01/28
9,49,9316,2,2013/01/28
1,50,6800,2,2013/01/07
2,50,4434,1,2013/01/07
3,50,7032,1,2013/01/07
1,51,162,3,2013/01/07
2,51,8525,2,2013/01/07
3,51,3215,3,2013/01/07
4,51,5269,3,2013/01/07
5,51,2503,1,2013/01/07
6,51,733,2,2013/01/07
7,51,8899,2,2013/01/07
1,52,3440,2,2013/01/17
2,52,440,1,2013/01/17
3,52,51,2,2013/01/17
4,52,2929,3,2013/01/17
5,52,8202,2,2013/01/17
6,52,4675,1,2013/01/17
7,52,1910,2,2013/01/17
1,53,7114,2,2013/01/29
2,53,929,3,2013/01/29
3,53,8675,1,2013/01/29
1,54,5787,3,2013/01/15
1,55,9465,1,2013/01/24
2,55,2749,1,2013/01/24
3,55,8098,1,2013/01/24
4,55,7468,1,2013/01/24
5,55,1734,3,2013/01/24
6,55,7609,1,2013/01/24
7,55,9812,3,2013/01/24
8,55,3416,3,2013/01/24
1,56,6005,1,2013/01/15
2,56,813,2,2013/01/15
3,56,1370,2,2013/01/15
1,57,6684,2,2013/01/04
2,57,3124,3,2013/01/04
1,58,3993,1,2013/01/24
2,58,4527,1,2013/01/24
3,58,3083,2,2013/01/24
4,58,55,2,2013/01/24
5,58,1263,2,2013/01/24
1,59,9103,3,2013/01/03
2,59,627,1,2013/01/03
3,59,5271,1,2013/01/03
4,59,9279,1,2013/01/03
5,59,3880,2,2013/01/03
6,59,6385,3,2013/01/03
7,59,5395,2,2013/01/03
1,60,7893,2,2013/01/26
2,60,3819,1,2013/01/26
1,61,8493,3,2013/01/26
2,61,7145,2,2013/01/26
3,61,5162,2,2013/01/26
4,61,5025,2,2013/01/26
5,61,6719,1,2013/01/26
6,61,7560,2,2013/01/26
7,61,1391,1,2013/01/26
8,61,1959,3,2013/01/26
9,61,8443,3,2013/01/26
1,62,8885,1,2013/01/06
1,63,6577,3,2013/01/15
2,63,2220,2,2013/01/15
3,63,7785,3,2013/01/15
1,64,8735,1,2013/01/05
2,64,6740,2,2013/01/05
3,64,8326,3,2013/01/05
4,64,7734,1,2013/01/05
5,64,5905,2,2013/01/05
6,64,7638,3,2013/01/05
1,65,1790,2,2013/01/09
2,65,4431,2,2013/01/09
1,66,6077,1,2013/01/21
2,66,8058,3,2013/01/21
3,66,3988,2,2013/01/21
4,66,3943,1,2013/01/21
5,66,5997,1,2013/01/21
6,66,9016,2,2013/01/21
7,66,8813,3,2013/01/21
8,66,4607,2,2013/01/21
1,67,3012,1,2013/01/10
2,67,7495,2,2013/01/10
3,67,4859,1,2013/01/10
4,67,8589,1,2013/01/10
5,67,2932,1,2013/01/10
6,67,29,3,2013/01/10
1,68,1755,1,2013/01/09
2,68,9598,3,2013/01/09
3,68,1130,3,2013/01/09
4,68,2073,3,2013/01/09
5,68,5362,3,2013/01/09
6,68,4659,3,2013/01/09
7,68,8924,3,2013/01/09
1,69,6737,1,2013/01/13
2,69,3472,2,2013/01/13
1,70,5412,1,2013/01/15
2,70,2687,1,2013/01/15
3,70,6934,2,2013/01/15
4,70,2364,2,2013/01/15
5,70,2192,2,2013/01/15
1,71,944,3,2013/01/16
1,72,1802,2,2013/01/28
2,72,4390,3,2013/01/28
3,72,6831,3,2013/01/28
1,73,6005,3,2013/01/12
1,74,3132,2,2013/01/04
2,74,4557,2,2013/01/04
3,74,7451,3,2013/01/04
4,74,9588,1,2013/01/04
5,74,206,1,2013/01/04
6,74,8979,3,2013/01/04
7,74,398,2,2013/01/04
8,74,1839,1,2013/01/04
1,75,4090,2,2013/01/25
2,75,6019,3,2013/01/25
3,75,5634,1,2013/01/25
4,75,8033,3,2013/01/25
5,75,714,3,2013/01/25
1,76,9169,1,2013/01/15
2,76,9009,3,2013/01/15
3,76,1918,3,2013/01/15
4,76,9287,1,2013/01/15
5,76,8210,3,2013/01/15
6,76,5088,1,2013/01/15
7,76,1883,1,2013/01/15
8,76,6276,1,2013/01/15
9,76,7487,1,2013/01/15
1,77,5528,3,2013/01/23
2,77,9578,2,2013/01/23
3,77,6379,2,2013/01/23
1,78,993,1,2013/01/01
2,78,8011,1,2013/01/01
3,78,1861,3,2013/01/01
4,78,3808,1,2013/01/01
5,78,6981,3,2013/01/01
6,78,117,3,2013/01/01
7,78,1768,2,2013/01/01
8,78,1483,3,2013/01/01
9,78,6757,3,2013/01/01
1,79,2230,1,2013/01/09
2,79,4527,3,2013/01/09
3,79,5458,2,2013/01/09
4,79,8569,3,2013/01/09
5,79,3867,3,2013/01/09
6,79,1742,1,2013/01/09
7,79,2472,2,2013/01/09
8,79,9174,2,2013/01/09
1,80,5019,3,2013/01/12
2,80,180,2,2013/01/12
3,80,6195,3,2013/01/12
4,80,5202,3,2013/01/12
1,81,7883,1,2013/01/08
2,81,3252,2,2013/01/08
3,81,6380,1,2013/01/08
4,81,2436,1,2013/01/08
5,81,1382,2,2013/01/08
